acc,pre,rec,f1
0.926829268292683,0.9444444444444444,0.9444444444444444,0.9444444444444444
0.8902439024390244,0.2857142857142857,0.3333333333333333,0.30769230769230765
0.8536585365853658,0.5,0.16666666666666666,0.25
0.9634146341463414,1.0,0.9411764705882353,0.9696969696969697
0.9634146341463414,1.0,0.9411764705882353,0.9696969696969697
0.8170731707317073,0.5,0.4,0.4444444444444445
0.9512195121951219,0.9534883720930233,0.9534883720930233,0.9534883720930233
0.9512195121951219,1.0,0.9230769230769231,0.9600000000000001
0.7317073170731707,0.6176470588235294,0.7,0.65625
0.8292682926829268,0.6470588235294118,0.5789473684210527,0.6111111111111113
0.9512195121951219,1.0,0.9230769230769231,0.9600000000000001
0.9024390243902439,0.94,0.9038461538461539,0.9215686274509804
0.9024390243902439,0.7777777777777778,0.7777777777777778,0.7777777777777778
0.9146341463414634,0.9534883720930233,0.8913043478260869,0.9213483146067417
0.9634146341463414,1.0,0.925,0.961038961038961
0.9634146341463414,1.0,0.7857142857142857,0.88
0.9634146341463414,1.0,0.7,0.8235294117647058
0.8414634146341463,0.9016393442622951,0.8870967741935484,0.8943089430894309
0.8170731707317073,0.5,0.4,0.4444444444444445
0.8292682926829268,0.875,0.9032258064516129,0.8888888888888888
0.9512195121951219,1.0,0.9230769230769231,0.9600000000000001
0.9512195121951219,1.0,0.5,0.6666666666666666
0.975609756097561,1.0,0.8,0.888888888888889
0.9878048780487805,1.0,0.875,0.9333333333333333
0.8536585365853658,0.8333333333333334,0.625,0.7142857142857143
0.8170731707317073,0.7647058823529411,0.7878787878787878,0.7761194029850745
0.926829268292683,1.0,0.4,0.5714285714285715
0.8414634146341463,0.9016393442622951,0.8870967741935484,0.8943089430894309
0.8780487804878049,0.9054054054054054,0.9571428571428572,0.9305555555555555
0.9634146341463414,1.0,0.925,0.961038961038961
0.8292682926829268,0.8939393939393939,0.8939393939393939,0.8939393939393939
0.8902439024390244,0.6,0.5454545454545454,0.5714285714285713
0.8902439024390244,0.3333333333333333,0.2857142857142857,0.30769230769230765
0.8902439024390244,0.8,0.3333333333333333,0.47058823529411764
0.8902439024390244,0.625,0.45454545454545453,0.5263157894736842
0.9512195121951219,1.0,0.9024390243902439,0.9487179487179488
0.8658536585365854,1.0,0.08333333333333333,0.15384615384615385
0.7804878048780488,0.5,0.5,0.5
0.9024390243902439,0.5,0.375,0.42857142857142855
0.8536585365853658,0.8888888888888888,0.851063829787234,0.8695652173913044
0.8536585365853658,0.5294117647058824,0.6923076923076923,0.5999999999999999
0.9634146341463414,1.0,0.9411764705882353,0.9696969696969697
0.9512195121951219,1.0,0.9245283018867925,0.9607843137254902
0.8170731707317073,0.7391304347826086,0.6538461538461539,0.693877551020408
0.9024390243902439,0.75,0.3,0.4285714285714285
0.8292682926829268,0.8970588235294118,0.8970588235294118,0.8970588235294118
0.8048780487804879,0.8888888888888888,0.6486486486486487,0.75
0.9634146341463414,1.0,0.9423076923076923,0.9702970297029703
0.9390243902439024,0.9594594594594594,0.9726027397260274,0.9659863945578231
0.8170731707317073,0.8823529411764706,0.8955223880597015,0.888888888888889
0.8902439024390244,0.7142857142857143,0.6666666666666666,0.689655172413793
0.9146341463414634,0.5714285714285714,0.5,0.5333333333333333
0.8414634146341463,0.6818181818181818,0.7142857142857143,0.6976744186046512
0.8658536585365854,0.875,0.4117647058823529,0.56
0.975609756097561,0.9714285714285714,0.9714285714285714,0.9714285714285714
0.9390243902439024,1.0,0.9074074074074074,0.9514563106796117
0.9390243902439024,0.9649122807017544,0.9482758620689655,0.9565217391304347
0.9634146341463414,0.8,0.6666666666666666,0.7272727272727272
0.7804878048780488,0.76,0.6129032258064516,0.6785714285714285
0.975609756097561,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.8658536585365854,0.5384615384615384,0.5833333333333334,0.5599999999999999
0.8780487804878049,0.7,0.5,0.5833333333333334
0.9634146341463414,1.0,0.925,0.961038961038961
0.8780487804878049,0.8333333333333334,0.35714285714285715,0.5
0.9146341463414634,0.8888888888888888,0.5714285714285714,0.6956521739130435
0.975609756097561,0.9803921568627451,0.9803921568627451,0.9803921568627451
